full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-04-20,20160420,2016,2,Q2 2016,4,April,2016-04,16,20,3,Wednesday,0,0
2016-04-21,20160421,2016,2,Q2 2016,4,April,2016-04,16,21,4,Thursday,0,0
2016-04-22,20160422,2016,2,Q2 2016,4,April,2016-04,16,22,5,Friday,0,0
2016-04-23,20160423,2016,2,Q2 2016,4,April,2016-04,16,23,6,Saturday,1,0
2016-04-24,20160424,2016,2,Q2 2016,4,April,2016-04,16,24,7,Sunday,1,0
2016-04-25,20160425,2016,2,Q2 2016,4,April,2016-04,17,25,1,Monday,0,0
2016-04-26,20160426,2016,2,Q2 2016,4,April,2016-04,17,26,2,Tuesday,0,0
2016-04-27,20160427,2016,2,Q2 2016,4,April,2016-04,17,27,3,Wednesday,0,0
2016-04-28,20160428,2016,2,Q2 2016,4,April,2016-04,17,28,4,Thursday,0,0
2016-04-29,20160429,2016,2,Q2 2016,4,April,2016-04,17,29,5,Friday,0,0
2016-04-30,20160430,2016,2,Q2 2016,4,April,2016-04,17,30,6,Saturday,1,1
2016-05-01,20160501,2016,2,Q2 2016,5,May,2016-05,17,1,7,Sunday,1,0
2016-05-02,20160502,2016,2,Q2 2016,5,May,2016-05,18,2,1,Monday,0,0
2016-05-03,20160503,2016,2,Q2 2016,5,May,2016-05,18,3,2,Tuesday,0,0
2016-05-04,20160504,2016,2,Q2 2016,5,May,2016-05,18,4,3,Wednesday,0,0
2016-05-05,20160505,2016,2,Q2 2016,5,May,2016-05,18,5,4,Thursday,0,0
2016-05-06,20160506,2016,2,Q2 2016,5,May,2016-05,18,6,5,Friday,0,0
2016-05-07,20160507,2016,2,Q2 2016,5,May,2016-05,18,7,6,Saturday,1,0
2016-05-08,20160508,2016,2,Q2 2016,5,May,2016-05,18,8,7,Sunday,1,0
2016-05-09,20160509,2016,2,Q2 2016,5,May,2016-05,19,9,1,Monday,0,0
2016-05-10,20160510,2016,2,Q2 2016,5,May,2016-05,19,10,2,Tuesday,0,0
2016-05-11,20160511,2016,2,Q2 2016,5,May,2016-05,19,11,3,Wednesday,0,0
2016-05-12,20160512,2016,2,Q2 2016,5,May,2016-05,19,12,4,Thursday,0,0
2016-05-13,20160513,2016,2,Q2 2016,5,May,2016-05,19,13,5,Friday,0,0
2016-05-14,20160514,2016,2,Q2 2016,5,May,2016-05,19,14,6,Saturday,1,0
2016-05-15,20160515,2016,2,Q2 2016,5,May,2016-05,19,15,7,Sunday,1,0
2016-05-16,20160516,2016,2,Q2 2016,5,May,2016-05,20,16,1,Monday,0,0
2016-05-17,20160517,2016,2,Q2 2016,5,May,2016-05,20,17,2,Tuesday,0,0
2016-05-18,20160518,2016,2,Q2 2016,5,May,2016-05,20,18,3,Wednesday,0,0
2016-05-19,20160519,2016,2,Q2 2016,5,May,2016-05,20,19,4,Thursday,0,0
2016-05-20,20160520,2016,2,Q2 2016,5,May,2016-05,20,20,5,Friday,0,0
